model,location,target_type,weights,forecast_date
semi_ensemble,CZ,Deaths,0.378109427983047,2021-06-07
semi_ensemble,DE,Cases,0.289830003689427,2021-06-07
semi_ensemble,DE,Deaths,0.297785204839785,2021-06-07
semi_ensemble,FR,Cases,0.306793088966091,2021-06-07
semi_ensemble,FR,Deaths,0.365947662953367,2021-06-07
semi_ensemble,GB,Cases,0.326616970653016,2021-06-07
semi_ensemble,GB,Deaths,0.41585127245392,2021-06-07
semi_ensemble,PL,Cases,0.470884437525839,2021-06-07
semi_ensemble,PL,Deaths,0.418040032107628,2021-06-07
stat_ensemble,CZ,Cases,0.317219516236963,2021-06-07
stat_ensemble,CZ,Deaths,0.373020439123532,2021-06-07
stat_ensemble,DE,Cases,0.39762553988371,2021-06-07
stat_ensemble,DE,Deaths,0.167502456921833,2021-06-07
stat_ensemble,FR,Cases,0.416162418576075,2021-06-07
stat_ensemble,FR,Deaths,0.323186151886294,2021-06-07
stat_ensemble,GB,Cases,0.356012498275016,2021-06-07
stat_ensemble,GB,Deaths,0.193945440387955,2021-06-07
stat_ensemble,PL,Cases,0.36275780547911,2021-06-07
stat_ensemble,PL,Deaths,0.215115134238547,2021-06-07
mech_ensemble,CZ,Cases,0.208739394706756,2021-06-14
mech_ensemble,CZ,Deaths,0.285681702291048,2021-06-14
mech_ensemble,DE,Cases,0.316412040083135,2021-06-14
mech_ensemble,DE,Deaths,0.539120030519595,2021-06-14
mech_ensemble,FR,Cases,0.336820850268446,2021-06-14
mech_ensemble,FR,Deaths,0.401379539711153,2021-06-14
mech_ensemble,GB,Cases,0.290033916504693,2021-06-14
mech_ensemble,GB,Deaths,0.436268465483476,2021-06-14
mech_ensemble,PL,Cases,0.134495113947827,2021-06-14
mech_ensemble,PL,Deaths,0.285062631843872,2021-06-14
semi_ensemble,CZ,Cases,0.536433030038805,2021-06-14
semi_ensemble,CZ,Deaths,0.367319567015367,2021-06-14
semi_ensemble,DE,Cases,0.214522543069244,2021-06-14
semi_ensemble,DE,Deaths,0.294730332947647,2021-06-14
semi_ensemble,FR,Cases,0.232295294895514,2021-06-14
semi_ensemble,FR,Deaths,0.321795793621546,2021-06-14
semi_ensemble,GB,Cases,0.34803464076895,2021-06-14
semi_ensemble,GB,Deaths,0.397911490029915,2021-06-14
semi_ensemble,PL,Cases,0.512864046042249,2021-06-14
semi_ensemble,PL,Deaths,0.404270941981066,2021-06-14
stat_ensemble,CZ,Cases,0.25482757525444,2021-06-14
stat_ensemble,CZ,Deaths,0.346998730693585,2021-06-14
stat_ensemble,DE,Cases,0.469065416847621,2021-06-14
stat_ensemble,DE,Deaths,0.166149636532758,2021-06-14
stat_ensemble,FR,Cases,0.43088385483604,2021-06-14
stat_ensemble,FR,Deaths,0.276824666667301,2021-06-14
stat_ensemble,GB,Cases,0.361931442726357,2021-06-14
stat_ensemble,GB,Deaths,0.165820044486609,2021-06-14
stat_ensemble,PL,Cases,0.352640840009924,2021-06-14
stat_ensemble,PL,Deaths,0.310666426175062,2021-06-14
mech_ensemble,CZ,Cases,0.237468886939759,2021-06-21
mech_ensemble,CZ,Deaths,0.356457972335652,2021-06-21
mech_ensemble,DE,Cases,0.24810203909156,2021-06-21
mech_ensemble,DE,Deaths,0.500600850934352,2021-06-21
mech_ensemble,FR,Cases,0.412170796649294,2021-06-21
mech_ensemble,FR,Deaths,0.402902074857897,2021-06-21
mech_ensemble,GB,Cases,0.296828425512055,2021-06-21
mech_ensemble,GB,Deaths,0.437731612865708,2021-06-21
mech_ensemble,PL,Cases,0.182718106861101,2021-06-21
mech_ensemble,PL,Deaths,0.357000931550151,2021-06-21
semi_ensemble,CZ,Cases,0.561185395973545,2021-06-21
semi_ensemble,CZ,Deaths,0.349417884683457,2021-06-21
semi_ensemble,DE,Cases,0.298746263607468,2021-06-21
semi_ensemble,DE,Deaths,0.315892659068413,2021-06-21
semi_ensemble,FR,Cases,0.265826286799677,2021-06-21
semi_ensemble,FR,Deaths,0.305618782983632,2021-06-21
