location,target_type,weights,model,forecast_date
FR,Cases,0.795649646998295,mech_ensemble,2021-05-17
FR,Deaths,0,mech_ensemble,2021-05-17
GB,Cases,1,mech_ensemble,2021-05-17
GB,Deaths,0,mech_ensemble,2021-05-17
PL,Cases,0,mech_ensemble,2021-05-17
PL,Deaths,0.327022375215146,mech_ensemble,2021-05-17
CZ,Cases,0.69277248431327,semi_ensemble,2021-05-17
CZ,Deaths,0.614035087719298,semi_ensemble,2021-05-17
DE,Cases,0.0704643998885872,semi_ensemble,2021-05-17
DE,Deaths,0,semi_ensemble,2021-05-17
FR,Cases,0.204350353001705,semi_ensemble,2021-05-17
FR,Deaths,0,semi_ensemble,2021-05-17
GB,Cases,0,semi_ensemble,2021-05-17
GB,Deaths,0.893939393939394,semi_ensemble,2021-05-17
PL,Cases,1,semi_ensemble,2021-05-17
PL,Deaths,0.672977624784854,semi_ensemble,2021-05-17
CZ,Deaths,0,stat_ensemble,2021-05-17
DE,Cases,0.929535600111413,stat_ensemble,2021-05-17
DE,Deaths,0.380859375,stat_ensemble,2021-05-17
FR,Cases,0,stat_ensemble,2021-05-17
FR,Deaths,1,stat_ensemble,2021-05-17
GB,Deaths,0.106060606060606,stat_ensemble,2021-05-17
PL,Deaths,0,stat_ensemble,2021-05-17
CZ,Cases,0,mech_ensemble,2021-05-24
CZ,Deaths,0,mech_ensemble,2021-05-24
DE,Cases,0,mech_ensemble,2021-05-24
DE,Deaths,1,mech_ensemble,2021-05-24
FR,Cases,0,mech_ensemble,2021-05-24
FR,Deaths,0,mech_ensemble,2021-05-24
GB,Cases,0.926335559265442,mech_ensemble,2021-05-24
GB,Deaths,0,mech_ensemble,2021-05-24
PL,Cases,0.085954718493288,mech_ensemble,2021-05-24
PL,Deaths,0,mech_ensemble,2021-05-24
CZ,Cases,1,semi_ensemble,2021-05-24
CZ,Deaths,0.560747663551402,semi_ensemble,2021-05-24
DE,Cases,0.0105611319694532,semi_ensemble,2021-05-24
DE,Deaths,0,semi_ensemble,2021-05-24
FR,Cases,1,semi_ensemble,2021-05-24
FR,Deaths,0.246153846153846,semi_ensemble,2021-05-24
GB,Cases,0.0736644407345577,semi_ensemble,2021-05-24
GB,Deaths,0.678571428571429,semi_ensemble,2021-05-24
PL,Cases,0.914045281506712,semi_ensemble,2021-05-24
PL,Deaths,0.786046511627907,semi_ensemble,2021-05-24
CZ,Deaths,0.439252336448598,stat_ensemble,2021-05-24
DE,Cases,0.989438868030547,stat_ensemble,2021-05-24
DE,Deaths,0,stat_ensemble,2021-05-24
FR,Cases,0,stat_ensemble,2021-05-24
FR,Deaths,0.753846153846154,stat_ensemble,2021-05-24
GB,Deaths,0.321428571428572,stat_ensemble,2021-05-24
PL,Deaths,0.213953488372093,stat_ensemble,2021-05-24
CZ,Cases,0,mech_ensemble,2021-05-31
CZ,Deaths,0,mech_ensemble,2021-05-31
DE,Cases,0,mech_ensemble,2021-05-31
DE,Deaths,1,mech_ensemble,2021-05-31
FR,Cases,0.177863176989769,mech_ensemble,2021-05-31
FR,Deaths,0,mech_ensemble,2021-05-31
GB,Cases,0.5684375,mech_ensemble,2021-05-31
GB,Deaths,0,mech_ensemble,2021-05-31
PL,Cases,0,mech_ensemble,2021-05-31
PL,Deaths,0.0817330079907616,mech_ensemble,2021-05-31
CZ,Cases,1,semi_ensemble,2021-05-31
CZ,Deaths,0.489361702127659,semi_ensemble,2021-05-31
DE,Cases,0.912318939290741,semi_ensemble,2021-05-31
DE,Deaths,0,semi_ensemble,2021-05-31
FR,Cases,0.763000559986214,semi_ensemble,2021-05-31
FR,Deaths,0.720338983050848,semi_ensemble,2021-05-31
GB,Cases,0.4315625,semi_ensemble,2021-05-31
GB,Deaths,0.891304347826087,semi_ensemble,2021-05-31
PL,Cases,1,semi_ensemble,2021-05-31
PL,Deaths,0.651442621118706,semi_ensemble,2021-05-31
CZ,Deaths,0.510638297872341,stat_ensemble,2021-05-31
DE,Cases,0.0876810607092587,stat_ensemble,2021-05-31
DE,Deaths,0,stat_ensemble,2021-05-31
FR,Cases,0.0591362630240173,stat_ensemble,2021-05-31
FR,Deaths,0.279661016949152,stat_ensemble,2021-05-31
GB,Deaths,0.108695652173913,stat_ensemble,2021-05-31
PL,Deaths,0.266824370890532,stat_ensemble,2021-05-31
CZ,Cases,0,mech_ensemble,2021-06-07
CZ,Deaths,0,mech_ensemble,2021-06-07
DE,Cases,0,mech_ensemble,2021-06-07
DE,Deaths,1,mech_ensemble,2021-06-07
FR,Cases,0,mech_ensemble,2021-06-07
FR,Deaths,0.019230769230769,mech_ensemble,2021-06-07
GB,Cases,0.0204703766964117,mech_ensemble,2021-06-07
