location,target_type,model,forecast_date,weights
PL,Cases,semi_ensemble,2021-06-14,0.526623001493019
PL,Deaths,semi_ensemble,2021-06-14,0.612646410593194
CZ,Cases,stat_ensemble,2021-06-14,0.111111111111111
CZ,Deaths,stat_ensemble,2021-06-14,0.281208053691276
DE,Cases,stat_ensemble,2021-06-14,0.494796677570393
DE,Deaths,stat_ensemble,2021-06-14,0.0788617886178862
FR,Cases,stat_ensemble,2021-06-14,0.479756081653949
FR,Deaths,stat_ensemble,2021-06-14,0.176136363636364
GB,Cases,stat_ensemble,2021-06-14,0.404609111554607
GB,Deaths,stat_ensemble,2021-06-14,0.111111111111111
PL,Cases,stat_ensemble,2021-06-14,0.246104271234254
PL,Deaths,stat_ensemble,2021-06-14,0.108243350325049
CZ,Cases,mech_ensemble,2021-06-21,0.222222222222222
CZ,Deaths,mech_ensemble,2021-06-21,0.617346938775511
DE,Cases,mech_ensemble,2021-06-21,0.294402613221127
DE,Deaths,mech_ensemble,2021-06-21,0.757004160887656
FR,Cases,mech_ensemble,2021-06-21,0.666666666666667
FR,Deaths,mech_ensemble,2021-06-21,0.58149374540103
GB,Cases,mech_ensemble,2021-06-21,0.1875
GB,Deaths,mech_ensemble,2021-06-21,0.722222222222222
PL,Cases,mech_ensemble,2021-06-21,0.25
PL,Deaths,mech_ensemble,2021-06-21,0.42398558577154
CZ,Cases,semi_ensemble,2021-06-21,0.666666666666667
CZ,Deaths,semi_ensemble,2021-06-21,0.15
DE,Cases,semi_ensemble,2021-06-21,0.125
DE,Deaths,semi_ensemble,2021-06-21,0.133333333333333
FR,Cases,semi_ensemble,2021-06-21,0.166666666666667
FR,Deaths,semi_ensemble,2021-06-21,0.166666666666667
GB,Cases,semi_ensemble,2021-06-21,0.382271883868151
GB,Deaths,semi_ensemble,2021-06-21,0.166666666666667
PL,Cases,semi_ensemble,2021-06-21,0.666666666666667
PL,Deaths,semi_ensemble,2021-06-21,0.479513906806337
CZ,Cases,stat_ensemble,2021-06-21,0.111111111111111
CZ,Deaths,stat_ensemble,2021-06-21,0.23265306122449
DE,Cases,stat_ensemble,2021-06-21,0.580597386778873
DE,Deaths,stat_ensemble,2021-06-21,0.109662505779011
FR,Cases,stat_ensemble,2021-06-21,0.166666666666667
FR,Deaths,stat_ensemble,2021-06-21,0.251839587932303
GB,Cases,stat_ensemble,2021-06-21,0.430228116131849
GB,Deaths,stat_ensemble,2021-06-21,0.111111111111111
PL,Cases,stat_ensemble,2021-06-21,0.0833333333333333
PL,Deaths,stat_ensemble,2021-06-21,0.0965005074221236
CZ,Cases,mech_ensemble,2021-06-28,0.485714285714286
CZ,Deaths,mech_ensemble,2021-06-28,0.632352941176471
DE,Cases,mech_ensemble,2021-06-28,0.25
DE,Deaths,mech_ensemble,2021-06-28,0.713117546848381
FR,Cases,mech_ensemble,2021-06-28,0.166666666666667
FR,Deaths,mech_ensemble,2021-06-28,0.467757936507937
GB,Cases,mech_ensemble,2021-06-28,0.1875
GB,Deaths,mech_ensemble,2021-06-28,0.693961352657005
PL,Cases,mech_ensemble,2021-06-28,0.419075144508671
PL,Deaths,mech_ensemble,2021-06-28,0.6
CZ,Cases,semi_ensemble,2021-06-28,0.403174603174603
CZ,Deaths,semi_ensemble,2021-06-28,0.15
DE,Cases,semi_ensemble,2021-06-28,0.624316317228806
DE,Deaths,semi_ensemble,2021-06-28,0.133333333333333
FR,Cases,semi_ensemble,2021-06-28,0.666666666666667
FR,Deaths,semi_ensemble,2021-06-28,0.421130952380952
GB,Cases,semi_ensemble,2021-06-28,0.6875
GB,Deaths,semi_ensemble,2021-06-28,0.166666666666667
PL,Cases,semi_ensemble,2021-06-28,0.497591522157996
PL,Deaths,semi_ensemble,2021-06-28,0.316666666666667
CZ,Cases,stat_ensemble,2021-06-28,0.111111111111111
CZ,Deaths,stat_ensemble,2021-06-28,0.217647058823529
DE,Cases,stat_ensemble,2021-06-28,0.125683682771194
DE,Deaths,stat_ensemble,2021-06-28,0.153549119818285
FR,Cases,stat_ensemble,2021-06-28,0.166666666666667
FR,Deaths,stat_ensemble,2021-06-28,0.111111111111111
GB,Cases,stat_ensemble,2021-06-28,0.125
GB,Deaths,stat_ensemble,2021-06-28,0.139371980676329
PL,Cases,stat_ensemble,2021-06-28,0.0833333333333333
PL,Deaths,stat_ensemble,2021-06-28,0.0833333333333333
CZ,Cases,mech_ensemble,2021-07-05,0.609318996415771
CZ,Deaths,mech_ensemble,2021-07-05,0.65
DE,Cases,mech_ensemble,2021-07-05,0.235294117647059
DE,Deaths,mech_ensemble,2021-07-05,0.687784090909091
FR,Cases,mech_ensemble,2021-07-05,0.1875
FR,Deaths,mech_ensemble,2021-07-05,0.415135608048994
GB,Cases,mech_ensemble,2021-07-05,0.227402518779017
GB,Deaths,mech_ensemble,2021-07-05,0.548569527611444
PL,Cases,mech_ensemble,2021-07-05,0.500447227191413
PL,Deaths,mech_ensemble,2021-07-05,0.688888888888889
CZ,Cases,semi_ensemble,2021-07-05,0.279569892473118
CZ,Deaths,semi_ensemble,2021-07-05,0.15
DE,Cases,semi_ensemble,2021-07-05,0.647058823529412
DE,Deaths,semi_ensemble,2021-07-05,0.133333333333333
FR,Cases,semi_ensemble,2021-07-05,0.6875
FR,Deaths,semi_ensemble,2021-07-05,0.473753280839895
GB,Cases,semi_ensemble,2021-07-05,0.647597481220983
GB,Deaths,semi_ensemble,2021-07-05,0.166666666666667
PL,Cases,semi_ensemble,2021-07-05,0.416219439475254
PL,Deaths,semi_ensemble,2021-07-05,0.227777777777778
CZ,Cases,stat_ensemble,2021-07-05,0.111111111111111
CZ,Deaths,stat_ensemble,2021-07-05,0.2
DE,Cases,stat_ensemble,2021-07-05,0.117647058823529
DE,Deaths,stat_ensemble,2021-07-05,0.178882575757576
FR,Cases,stat_ensemble,2021-07-05,0.125
FR,Deaths,stat_ensemble,2021-07-05,0.111111111111111
GB,Cases,stat_ensemble,2021-07-05,0.125
GB,Deaths,stat_ensemble,2021-07-05,0.28476380572189
PL,Cases,stat_ensemble,2021-07-05,0.0833333333333333
PL,Deaths,stat_ensemble,2021-07-05,0.0833333333333333
CZ,Cases,mech_ensemble,2021-07-12,0.62324544142726
CZ,Deaths,mech_ensemble,2021-07-12,0.319055036344756
DE,Cases,mech_ensemble,2021-07-12,0.410905727851138
DE,Deaths,mech_ensemble,2021-07-12,0.694805194805195
FR,Cases,mech_ensemble,2021-07-12,0.353961481054443
FR,Deaths,mech_ensemble,2021-07-12,0.363351254480287
GB,Cases,mech_ensemble,2021-07-12,0.201433077345035
GB,Deaths,mech_ensemble,2021-07-12,0.59958071278826
PL,Cases,mech_ensemble,2021-07-12,0.455897262588712
PL,Deaths,mech_ensemble,2021-07-12,0.542806707855252
CZ,Cases,semi_ensemble,2021-07-12,0.166666666666667
CZ,Deaths,semi_ensemble,2021-07-12,0.564330218068536
DE,Cases,semi_ensemble,2021-07-12,0.445167392671775
DE,Deaths,semi_ensemble,2021-07-12,0.142857142857143
FR,Cases,semi_ensemble,2021-07-12,0.444311939462614
FR,Deaths,semi_ensemble,2021-07-12,0.525537634408602
GB,Cases,semi_ensemble,2021-07-12,0.673566922654965
GB,Deaths,semi_ensemble,2021-07-12,0.166666666666667
PL,Cases,semi_ensemble,2021-07-12,0.453193646502197
PL,Deaths,semi_ensemble,2021-07-12,0.366284201235657
CZ,Cases,stat_ensemble,2021-07-12,0.210087891906074
CZ,Deaths,stat_ensemble,2021-07-12,0.116614745586708
DE,Cases,stat_ensemble,2021-07-12,0.143926879477087
DE,Deaths,stat_ensemble,2021-07-12,0.162337662337662
FR,Cases,stat_ensemble,2021-07-12,0.201726579482942
FR,Deaths,stat_ensemble,2021-07-12,0.111111111111111
GB,Cases,stat_ensemble,2021-07-12,0.125
GB,Deaths,stat_ensemble,2021-07-12,0.233752620545073
PL,Cases,stat_ensemble,2021-07-12,0.0909090909090909
PL,Deaths,stat_ensemble,2021-07-12,0.0909090909090909
CZ,Cases,mech_ensemble,2021-07-19,0.539120474127198
CZ,Deaths,mech_ensemble,2021-07-19,0.59375
DE,Cases,mech_ensemble,2021-07-19,0.505818859117634
DE,Deaths,mech_ensemble,2021-07-19,0.335833617456529
FR,Cases,mech_ensemble,2021-07-19,0.423009977691157
FR,Deaths,mech_ensemble,2021-07-19,0.459216441875401
GB,Cases,mech_ensemble,2021-07-19,0.201467969034864
GB,Deaths,mech_ensemble,2021-07-19,0.713957759412305
PL,Cases,mech_ensemble,2021-07-19,0.692727272727273
PL,Deaths,mech_ensemble,2021-07-19,0.474025974025974
CZ,Cases,semi_ensemble,2021-07-19,0.166666666666667
CZ,Deaths,semi_ensemble,2021-07-19,0.15
DE,Cases,semi_ensemble,2021-07-19,0.133333333333333
DE,Deaths,semi_ensemble,2021-07-19,0.505080122741221
FR,Cases,semi_ensemble,2021-07-19,0.166666666666667
FR,Deaths,semi_ensemble,2021-07-19,0.429672447013488
GB,Cases,semi_ensemble,2021-07-19,0.673532030965136
GB,Deaths,semi_ensemble,2021-07-19,0.166666666666667
PL,Cases,semi_ensemble,2021-07-19,0.216363636363637
PL,Deaths,semi_ensemble,2021-07-19,0.435064935064935
CZ,Cases,stat_ensemble,2021-07-19,0.294212859206136
CZ,Deaths,stat_ensemble,2021-07-19,0.25625
DE,Cases,stat_ensemble,2021-07-19,0.360847807549033
DE,Deaths,stat_ensemble,2021-07-19,0.15908625980225
FR,Cases,stat_ensemble,2021-07-19,0.410323355642176
FR,Deaths,stat_ensemble,2021-07-19,0.111111111111111
GB,Cases,stat_ensemble,2021-07-19,0.125
GB,Deaths,stat_ensemble,2021-07-19,0.119375573921028
PL,Cases,stat_ensemble,2021-07-19,0.0909090909090909
PL,Deaths,stat_ensemble,2021-07-19,0.0909090909090909
CZ,Cases,mech_ensemble,2021-07-26,0.611417580791749
CZ,Deaths,mech_ensemble,2021-07-26,0.509825327510917
DE,Cases,mech_ensemble,2021-07-26,0.214285714285714
DE,Deaths,mech_ensemble,2021-07-26,0.552353845328949
FR,Cases,mech_ensemble,2021-07-26,0.1875
FR,Deaths,mech_ensemble,2021-07-26,0.722222222222222
GB,Cases,mech_ensemble,2021-07-26,0.61627595193493
GB,Deaths,mech_ensemble,2021-07-26,0.722222222222222
PL,Cases,mech_ensemble,2021-07-26,0.678543635352974
PL,Deaths,mech_ensemble,2021-07-26,0.3866930171278
CZ,Cases,semi_ensemble,2021-07-26,0.166666666666667
CZ,Deaths,semi_ensemble,2021-07-26,0.32467248908297
DE,Cases,semi_ensemble,2021-07-26,0.21844000625248
DE,Deaths,semi_ensemble,2021-07-26,0.258333184393487
FR,Cases,semi_ensemble,2021-07-26,0.332554469159032
FR,Deaths,semi_ensemble,2021-07-26,0.166666666666667
GB,Cases,semi_ensemble,2021-07-26,0.25872404806507
GB,Deaths,semi_ensemble,2021-07-26,0.166666666666667
PL,Cases,semi_ensemble,2021-07-26,0.2
PL,Deaths,semi_ensemble,2021-07-26,0.522397891963109
CZ,Cases,stat_ensemble,2021-07-26,0.221915752541585
CZ,Deaths,stat_ensemble,2021-07-26,0.165502183406114
DE,Cases,stat_ensemble,2021-07-26,0.567274279461806
DE,Deaths,stat_ensemble,2021-07-26,0.189312970277564
FR,Cases,stat_ensemble,2021-07-26,0.479945530840968
FR,Deaths,stat_ensemble,2021-07-26,0.111111111111111
GB,Cases,stat_ensemble,2021-07-26,0.125
GB,Deaths,stat_ensemble,2021-07-26,0.111111111111111
PL,Cases,stat_ensemble,2021-07-26,0.121456364647026
PL,Deaths,stat_ensemble,2021-07-26,0.0909090909090909
CZ,Cases,mech_ensemble,2021-08-02,0.222222222222222
CZ,Deaths,mech_ensemble,2021-08-02,0.615384615384615
DE,Cases,mech_ensemble,2021-08-02,0.214285714285714
DE,Deaths,mech_ensemble,2021-08-02,0.672077922077922
FR,Cases,mech_ensemble,2021-08-02,0.166666666666667
