model,target_type,location,forecast_date,weights
FIAS_FZJ-Epi1Ger,Deaths,DE,2021-04-19,0.0405556409423941
IEM_Health-CovidProject,Deaths,DE,2021-04-19,0.0405556409423941
ILM-EKF,Deaths,DE,2021-04-19,0.0720058750502337
itwm-dSEIR,Deaths,DE,2021-04-19,0.0405556409423941
ITWW-county_repro,Deaths,DE,2021-04-19,0.0720058750502337
Karlen-pypm,Deaths,DE,2021-04-19,0.0405556409423941
LANL-GrowthRate,Deaths,DE,2021-04-19,0.0720058750502337
LeipzigIMISE-SECIR,Deaths,DE,2021-04-19,0.0405556409423941
MIT_CovidAnalytics-DELPHI,Deaths,DE,2021-04-19,0.0405556409423941
RobertWalraven-ESG,Deaths,DE,2021-04-19,0.306420090375124
UMass-MechBayes,Deaths,DE,2021-04-19,0.0405556409423941
UMass-SemiMech,Deaths,DE,2021-04-19,0.0405556409423941
USC-SIkJalpha,Deaths,DE,2021-04-19,0.0405556409423941
bisop-seirfilterlite,Cases,FR,2021-04-19,0.0609435218491567
DSMPG-bayes,Cases,FR,2021-04-19,0.0609435218491567
epiforecasts-EpiNow2,Cases,FR,2021-04-19,0.101981347267724
IEM_Health-CovidProject,Cases,FR,2021-04-19,0.0609435218491567
ILM-EKF,Cases,FR,2021-04-19,0.101981347267724
LANL-GrowthRate,Cases,FR,2021-04-19,0.101981347267724
UMass-SemiMech,Cases,FR,2021-04-19,0.0609435218491567
UNIPV-BayesINGARCHX,Cases,FR,2021-04-19,0.389338348951044
USC-SIkJalpha,Cases,FR,2021-04-19,0.0609435218491567
bisop-seirfilterlite,Deaths,FR,2021-04-19,0.0718390923533228
epiforecasts-EpiNow2,Deaths,FR,2021-04-19,0.0910664273951195
IEM_Health-CovidProject,Deaths,FR,2021-04-19,0.0718390923533228
ILM-EKF,Deaths,FR,2021-04-19,0.0910664273951195
LANL-GrowthRate,Deaths,FR,2021-04-19,0.0910664273951195
RobertWalraven-ESG,Deaths,FR,2021-04-19,0.367605256048027
UMass-MechBayes,Deaths,FR,2021-04-19,0.0718390923533228
UMass-SemiMech,Deaths,FR,2021-04-19,0.0718390923533228
USC-SIkJalpha,Deaths,FR,2021-04-19,0.0718390923533228
bisop-seirfilterlite,Cases,GB,2021-04-19,0.13157032169268
epiforecasts-EpiNow2,Cases,GB,2021-04-19,0.157906237743093
IEM_Health-CovidProject,Cases,GB,2021-04-19,0.13157032169268
ILM-EKF,Cases,GB,2021-04-19,0.157906237743093
LANL-GrowthRate,Cases,GB,2021-04-19,0.157906237743093
UMass-SemiMech,Cases,GB,2021-04-19,0.13157032169268
USC-SIkJalpha,Cases,GB,2021-04-19,0.13157032169268
bisop-seirfilterlite,Deaths,GB,2021-04-19,0.0564004579798762
epiforecasts-EpiNow2,Deaths,GB,2021-04-19,0.0871428510426726
IEM_Health-CovidProject,Deaths,GB,2021-04-19,0.0564004579798762
ILM-EKF,Deaths,GB,2021-04-19,0.0871428510426726
LANL-GrowthRate,Deaths,GB,2021-04-19,0.0871428510426726
RobertWalraven-ESG,Deaths,GB,2021-04-19,0.456569156972602
UMass-MechBayes,Deaths,GB,2021-04-19,0.0564004579798762
UMass-SemiMech,Deaths,GB,2021-04-19,0.0564004579798762
USC-SIkJalpha,Deaths,GB,2021-04-19,0.0564004579798762
bisop-seirfilterlite,Cases,PL,2021-04-19,0.0622260172350336
DSMPG-bayes,Cases,PL,2021-04-19,0.0622260172350336
epiforecasts-EpiNow2,Cases,PL,2021-04-19,0.141104469838691
IEM_Health-CovidProject,Cases,PL,2021-04-19,0.0622260172350336
ILM-EKF,Cases,PL,2021-04-19,0.141104469838691
ITWW-county_repro,Cases,PL,2021-04-19,0.141104469838691
LANL-GrowthRate,Cases,PL,2021-04-19,0.141104469838691
MIMUW-StochSEIR,Cases,PL,2021-04-19,0.0622260172350336
MIT_CovidAnalytics-DELPHI,Cases,PL,2021-04-19,0.0622260172350336
UMass-SemiMech,Cases,PL,2021-04-19,0.0622260172350336
USC-SIkJalpha,Cases,PL,2021-04-19,0.0622260172350336
bisop-seirfilterlite,Deaths,PL,2021-04-19,0.0542858610336822
epiforecasts-EpiNow2,Deaths,PL,2021-04-19,0.0763990748992828
IEM_Health-CovidProject,Deaths,PL,2021-04-19,0.0542858610336822
ILM-EKF,Deaths,PL,2021-04-19,0.0763990748992828
ITWW-county_repro,Deaths,PL,2021-04-19,0.0763990748992828
LANL-GrowthRate,Deaths,PL,2021-04-19,0.0763990748992828
