model,location,target_type,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.025,74594.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.025,831,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.025,58273,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.025,743,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.025,38872.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.025,587,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.05,97914.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.05,984.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.05,81209.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.05,866,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.05,67899.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.05,826.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.05,47018,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.05,653.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.1,103375.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.1,1070,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.1,89629,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.1,993,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.1,78180,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.1,908,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.1,64846.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.1,711.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.15,107099,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.15,1119,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.15,95837.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.15,1095.5,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.15,86122,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.15,964,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.15,78214,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.15,792.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.2,110015,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.2,1144.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.2,101101.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.2,1177,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.2,93093,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.2,991.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.2,86635.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.2,824.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.25,112578,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.25,1162,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.25,103893,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.25,1233.5,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.25,96747,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.25,1085,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.25,92409,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.25,910.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.3,115063,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.3,1178,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.3,108613,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.3,1278.5,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.3,102561,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.3,1162,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.3,98295,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.3,973,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.35,117570,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.35,1192.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.35,113444.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.35,1297,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.35,109547,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.35,1309.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.35,109751.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.35,1148,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.4,120484.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.4,1206.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.4,118698.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.4,1315.5,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.4,120000.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.4,1378.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.4,122754.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.4,1249.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.45,124024.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.45,1278,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.45,124316.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.45,1388,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.45,131137.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.45,1568.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.45,135320.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.45,1497,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.5,128024.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.5,1290,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.5,133000.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.5,1392,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.5,142400.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.5,1620,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.5,148866.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.5,1578.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.55,130850.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.55,1302,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.55,141013.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.55,1396.5,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.55,149461.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.55,1631.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.55,157634,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.55,1617,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.6,135405,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.6,1314,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.6,145270,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.6,1418.5,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.6,155170.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.6,1674.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.6,165717.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.6,1724,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.65,138777,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.65,1325.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.65,148815,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.65,1424,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.65,160788.5,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.65,1686,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.65,173927,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.65,1767,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.7,141385.5,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.7,1501,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.7,152825,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.7,1607,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.7,167243,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.7,1876.5,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.7,183409,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.7,2022,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.75,145364,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.75,1537.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.75,158876.5,2,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-24,1639,82695000,2021-04-12,0.75,1617,2,4,ensemble,1
median_ensemble,DE,Cases,2021-05-01,132607,82695000,2021-04-12,0.75,174522,3,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-01,1597,82695000,2021-04-12,0.75,1897,3,4,ensemble,1
median_ensemble,DE,Cases,2021-05-08,106987,82695000,2021-04-12,0.75,194126.5,4,4,ensemble,1
median_ensemble,DE,Deaths,2021-05-08,1582,82695000,2021-04-12,0.75,2083.5,4,4,ensemble,1
median_ensemble,DE,Cases,2021-04-17,144853,82695000,2021-04-12,0.8,148751,1,4,ensemble,1
median_ensemble,DE,Deaths,2021-04-17,1569,82695000,2021-04-12,0.8,1585.5,1,4,ensemble,1
median_ensemble,DE,Cases,2021-04-24,136988,82695000,2021-04-12,0.8,169349.5,2,4,ensemble,1
