model,location,target_type,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.85,22358,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.85,415,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.9,31062.5,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.9,789,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.9,28399,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.9,617.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.9,26696,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.9,528,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.9,24918.5,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.9,447.5,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.95,33775,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.95,821.5,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.95,32152.5,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.95,651.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.95,30968.5,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.95,588,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.95,29521.5,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.95,520.5,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.975,36084,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.975,842,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.975,34763,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.975,691.5,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.975,35892,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.975,675,3,4,ensemble,1
